ID,Country,Location,Latitude,Longitude,Last signal
"2203","se","Vanersborg","58.38","12.32","1698977701"
"2204","is","Eskifjordur","65.04","-14.01","1695682201"
"2205","pt","Silves","37.18","-8.44","1698977701"
"2206","gb","Cleethorpes","53.34","-0.03","1698977701"
"2207","de","Wismar","53.91","11.40","1698977701"
"2208","de","Mannheim","49.55","8.72","1698977701"
"2209","us","San Pedro","33.74","-118.28","1698977701"
"2210","ru","Nizhny Novogorod","56.34","43.97","1697510101"
"2213","zz","Worldwide","0.00","0.00","1698977701"
"2214","nl","Rotterdam","51.91","4.48","1698977701"
"2216","de","Ruesselsheim am Main","49.99","8.42","1698969901"
"2217","it","Taranto","40.48","17.20","1698977701"
"2218","ca","Newfoundland, St. Johns","47.56","-52.71","1698977701"
"2219","ru","Kaliningrad","54.73","20.54","1695476101"
"2220","gb","Eccles","53.47","-2.35","1698977701"
"2221","no","Stavanger","58.94","5.70","1698977701"
"2223","de","Bremen Winterhafen","53.10","8.76","1698977701"
"2224","nl","Katwijk","52.20","4.43","1698977701"
"2226","gr","Athens","37.98","23.73","1698977701"
"2227","ca","Halifax","44.47","-63.55","1694787002"
"2228","de","Kiel","54.26","10.18","1698977701"
"2229","us","New York","42.07","-73.92","1698977701"
"2230","nl","Vlissingen","51.44","3.58","1698977701"
"2232","es","Castro Urdiales","43.38","-3.23","1698977701"
"2234","es","Laracha","43.26","-8.59","1698977701"
"2235","us","Harvey Cedars NJ ","39.71","-74.13","1698977701"
"2236","nl","IJmuiden","52.46","4.59","1698977701"
"2237","gr","Athens, Glyfada","37.87","23.75","1698977701"
"2238","us","Grasonville","38.98","-76.23","1698977701"
"2239","nl","Goor","52.23","6.58","1698977701"
"2240","es","Vilanova i la Geltru","41.18","1.75","1698977701"
"2241","nl","Gouda","52.02","4.71","1698977701"
"2244","nl","Almelo","52.37","6.65","1698977701"
"2247","us","Hanover, Maryland ","39.20","-76.70","1698977701"
"2249","us","San Diego","33.08","-117.20","1698977701"
"2250","nl","Zoeterwoude","52.11","4.50","1698975001"
"2255","cy","Limassol","34.67","33.02","1698977701"
"2257","jp","Shimizu","35.01","138.47","1698977701"
"2259","co","Salgar","11.01","-74.93","1698977701"
"2260","gb","Oban","56.50","-5.41","1698977701"
"2261","us","Seattle","47.63","-122.30","1698977701"
"2262","se","Karlskrona","56.17","15.64","1698977701"
"2263","gb","Wigan","53.51","-2.56","1698977701"
"2264","fi","Uto","59.78","21.37","1698977701"
"2266","se","Sodersvik","59.75","18.91","1698977701"
"2270","mf","Simpson Bay","18.03","-63.09","1698977701"
"2273","nl","Rotterdam","51.92","4.50","1698977701"
"2275","fr","Lorient","47.73","-3.38","1698977701"
"2276","be","Schilde","51.25","4.59","1698977701"
"2278","ar","Mar del Plata","-38.06","-57.55","1698977701"
"2280","za","Cape Town","-34.13","18.41","1698977701"
"2281","pt","Sines","37.95","-8.88","1698977701"
"2282","us","Seattle","47.43","-122.34","1698977701"
"2283","il","Haifa","32.47","34.89","1698977701"
"2286","gb","Isle of Islay Scotland","55.69","-6.46","1698977701"
"2287","nl","Rosmalen","51.72","5.38","1698977701"
"2288","au","Johanna","-38.75","143.39","1698977701"
"2289","fr","Six Fours Les Plages","43.12","5.85","1695196501"
"2290","gr","Athens","38.00","23.85","1698977701"
"2291","de","Bremerhaven","53.59","8.54","1698977701"
"2292","be","Gent","51.04","3.63","1698977701"
"2293","us","Florida, Fort Lauderdale","26.15","-80.27","1698977701"
"2295","de","Cologne","50.90","6.92","1698977701"
"2296","gb","Ramsgate","51.32","1.37","1698977701"
"2297","gb","Great Yarmouth","52.62","1.73","1698977701"
"2298","nl","Rotterdam","51.91","4.48","1698977701"
"2299","fr","Locmalo, Port-Louis","47.71","-3.35","1698977701"
"2300","be","Antwerp Harbour 1","51.23","4.57","1698977701"
"2302","es","Llastres","43.51","-5.27","1698977701"
"2303","nl","Posterholt","51.12","6.03","1698977701"
"2304","se","Ingarostrand","59.28","18.49","1698977701"
"2305","us","Florida, Fort Lauderdale","26.22","-80.13","1698977701"
"2307","gb","Sully","51.41","-3.22","1698975901"
"2308","us","Jupiter, FL","26.95","-80.08","1698977701"
"2309","gb","ABXAIS","51.60","-1.45","1698977701"
"2310","ua","Nikolaev","46.96","32.01","1698977701"
"2311","de","Leer","53.22","7.41","1698977701"
"2312","gb","Bristol","51.49","-2.68","1698977701"
"2313","gb","Broadstairs, Kent","51.36","1.44","1698977701"
"2314","nl","Utrecht","52.06","5.07","1698977701"
"2316","gg","Guernsey","49.49","-2.51","1698977701"
"2317","ca","Maple Bay","48.80","-123.62","1698977701"
"2319","se","Stockholm","59.32","18.16","1698977701"
"2320","fr","Brest","48.41","-4.49","1698977701"
"2321","ie","Cobh","51.85","-8.30","1698977701"
"2323","nl","Marken","52.46","5.10","1698977701"
"2325","es","Barcelona","0.00","0.00","1697101202"
"2326","jp","Sumoto","34.34","134.88","1698977701"
"2327","dk","Roenne, Bornholm ","55.10","14.71","1698977701"
"2328","ca","Rimouski","48.44","-68.54","1698977701"
"2329","us","Riverton","40.01","-75.01","1698977701"
"2330","nl","Stein","50.98","5.76","1698977701"
"2331","us","Bethel, AK","60.77","-161.88","1698886202"
"2332","us","Martinique","14.44","-60.88","1698977701"
"2333","gb","TEST-EP","0.00","0.00","1698977701"
"2334","ru","Ust-Luga","59.74","28.47","1698977701"
"2335","fr","Le Havre","49.48","0.12","1698977701"
"2337","br","Florianopolis","-27.63","-48.51","1698977701"
"2339","gr","North Aegean","40.95","24.48","1698977701"
"2340","es","Valencia","39.47","-0.37","1698977701"
"2341","no","Papper","59.11","10.84","1698977701"
"2342","se","Ostra Husby","58.58","16.55","1698977701"
"2343","us","La Conner, WA","48.39","-122.50","1698862801"
"2344","si","Koper","45.53","13.98","1698977701"
"2345","fr","Toulouse","43.60","1.44","1698977701"
"2346","nl","Amsterdam","52.36","5.00","1698977701"
"2347","nl","The Hague","52.11","4.33","1698977701"
"2348","cl","Viña del Mar","-33.02","-71.55","1698977701"
"2350","nl","Delfzijl","53.33","6.90","1698977701"
"2352","de","Dresden","51.06","13.67","1698977701"
"2353","tw","Kaohsiung","22.61","120.30","1698977701"
"2354","ie","Mizen Head","51.56","-9.63","1698977701"
"2355","se","Torslanda, Gothenburg ","57.70","11.77","1698977701"
"2357","zz","At Sea","0.00","0.00","1697385001"
"2361","nl","Zwijndrecht","51.81","4.61","1698977701"
"2362","co","Buenaventura","3.89","-77.08","1698977701"
"2363","de","Offenbach Bürgel","50.12","8.78","1698977701"
"2364","nl","Uithoorn","52.23","4.80","1698977701"
"2365","nz","Auckland","-36.81","174.73","1698977701"
"2366","no","Trondheim","63.44","10.43","1698977701"
"2367","es","Sant Carles de la Rapita","40.62","0.60","1698977701"
"2368","dk","Copenhagen ","55.63","12.50","1698977701"
"2369","us","Seattle","47.61","-122.33","1698977701"
"2370","tt","Chaguaramas","10.68","-61.63","1698977701"
"2371","il","Haifa","32.80","35.00","1698977701"
"2372","ca","Vancouver","49.29","-123.13","1698977701"
"2376","zz","At Sea","0.00","0.00","1693883101"
"2377","gb","Poole","50.72","-1.99","1698977701"
"2379","nl","Zeist","52.10","5.26","1698935101"
"2380","fi","Helsinki","60.20","24.96","1698977701"
"2382","de","Offenbach","50.11","8.74","1698977701"
"2383","us","Rogers City, Michigan","45.42","-83.81","1698977701"
"2384","no","Kristiansund","63.11","7.77","1698977701"
"2385","pt","Porto","41.19","-8.71","1698150001"
"2388","fi","Finland","61.10","21.50","1698977701"
"2389","th","Surat Thani","9.12","99.26","1698977701"
"2390","us","Shelton Washington","47.21","-123.00","1698977701"
"2391","kr","Pyuntaek","36.59","126.48","1698977701"
"2393","no","Rognan","67.15","15.46","1698977701"
"2394","it","Livorno","43.32","10.19","1698977701"
"2395","us","James Island","32.73","-79.94","1698977701"
"2396","us","Michigan, Traverse City","44.89","-85.64","1698260401"
"2398","de","Berlin","52.48","13.48","1698977701"
"2400","dk","Norresundby","57.09","9.96","1698977701"
"2401","ua","Odessa","46.48","30.76","1698977701"
"2402","nl","Spijkenisse","51.85","4.34","1698977701"
"2403","de","Stadersand","53.63","9.52","1698977701"
"2404","be","Bruges","51.20","3.20","1698977701"
"2405","fr","Cap Camarat","43.20","6.67","1698977701"
"2407","fi","Turku","60.45","22.27","1698977701"
"2409","nl","Geertruidenberg","51.69","4.84","1698977701"
"2410","gb","Gourock","55.94","-4.88","1698977701"
"2411","gb","Ballynahinch, N.Ireland","54.40","-5.89","1698977701"
"2412","us","San Francisco","37.79","-122.47","1698977701"
"2413","de","Hamburg Alster","53.56","10.02","1698977701"
"2415","fr","Brest","48.36","-4.56","1698977701"
"2417","jp","Wakayama Port","34.26","135.18","1698977701"
"2419","pt","Porto Salvo","38.74","-9.30","1698977701"
"2421","fr","Plougastel","48.33","-4.44","1698890101"
"2422","au","Collaroy Plateau","-33.73","151.29","1698977701"
"2423","de","Rostock","54.17","12.03","1698977701"
"2425","nl","Ter Walslage","52.92","7.12","1698977701"
"2426","us","San Francisco Bay","37.87","-122.46","1698977701"
"2427","mx","Cozumel","20.50","-86.96","1698977701"
"2428","fr","Le Havre","49.52","0.16","1698977701"
"2429","nl","Rotterdam","51.92","4.48","1698977701"
"2430","no","Ålesund","62.47","6.15","1698142501"
"2431","fr","Cap Ferret","44.64","-1.25","1698977701"
"2434","ch","Pratteln","47.53","7.70","1698977701"
"2435","nl","Katwijk","52.21","4.41","1698977701"
"2436","us","Treehouse, Virgin Islands","18.34","-64.87","1698288901"
"2438","gb","Scotland, Broadford Bay, Isle of Skye","57.24","-5.88","1698977701"
"2440","gb","Cardiff","51.52","-3.23","1698977701"
"2441","ie","Ring","52.05","-7.61","1698954301"
"2442","ca","Montreal","45.50","-73.51","1698977701"
"2443","nl","Julianadorp","52.89","4.73","1698977701"
"2446","nl","IJmuiden","52.46","4.60","1698977701"
"2447","gb","Rochester","51.38","0.50","1698977701"
"2448","it","Sabaudia","0.00","0.00","1696966501"
"2449","us","Johns Hopkins University","39.16","-76.90","1698977701"
"2450","se","Trollhattan","58.28","12.38","1698977701"
"2451","se","Segersang","59.02","17.93","1698977701"
"2453","no","Kristiansand","58.14","7.95","1698977701"
"2454","vn","Ho Chi Minh City","10.82","106.63","1698977701"
"2457","de","Madgeburg","51.92","11.86","1698977701"
"2458","us","Sheboygan","0.00","0.00","1698977701"
"2459","nl","Edam","52.50","5.05","1698977701"
"2460","dk","Nivå","55.92","12.48","1698977701"
"2463","ca","Prince Rupert","54.28","-130.32","1698977701"
"2464","de","Wentorf","53.49","10.25","1698977701"
"2466","us","Callao, VA","38.00","-76.55","1698936001"
"2467","de","Fehmarn","54.47","11.13","1697694902"
"2468","nl","Rotterdam","52.00","4.14","1698977701"
"2469","es","Sollube - Bizkaia","43.37","-2.76","1698977701"
"2470","nl","Zwolle","52.53","6.06","1698974401"
"2471","fr","UBS-Vannes","47.64","-2.75","1698977701"
"2472","uy","Maldonado","-34.60","-58.38","1698977701"
"2473","no","Oslofjord, Fulehuk Lighthouse","59.17","10.60","1698977701"
"2474","gb","Gosport","50.79","-1.14","1698977701"
"2475","nl","Poortugaal","51.85","4.39","1698977701"
"2476","se","Norrmjöle","63.66","20.15","1698977701"
"2477","gb","Humber Dock","53.74","-0.34","1698977701"
"2478","gb","Berwick-upon-Tweed","55.77","-2.01","1698977701"
"2479","ee","Tallinn","59.42","24.79","1698977701"
"2480","se","Kungsangen","59.48","17.75","1698977701"
"2481","fi","Vaasa","63.21","21.14","1698977701"
"2482","us","San Francisco Bay","37.80","-122.30","1698977701"
"2483","nl","Nederweert","51.28","5.76","1698977701"
"2484","us","Biscayne Bay PS - Miami FL","25.77","-80.15","1698374401"
"2485","sk","Miloslavov","48.09","17.32","1698977701"
"2487","fr","Fecamp","49.76","0.38","1698977701"
"2489","it","Genoa","44.41","8.88","1698977701"
"2493","ca","Sorel-Tracy","45.98","-73.18","1698977701"
"2494","se","Ingarö","59.28","18.34","1698965401"
"2495","us","Duluth, MN","46.78","-92.10","1698977701"
"2496","hk","Hong Kong","22.32","114.17","1698367201"
"2497","nl","Warmond","52.19","4.50","1698977701"
"2500","nl","Drachten","53.12","6.09","1698977701"
"2501","hk","","22.27","114.13","1698977701"
"2502","au","Scarborough","-27.19","153.10","1698977701"
"2503","gb","Ardrossan","55.65","-4.81","1698977701"
"2504","my","Kota Kinabalu","5.93","116.08","1698977701"
"2505","se","Göteborg","57.69","11.98","1698977701"
"2506","no","Lista","58.09","6.60","1698977701"
"2507","mx","Nuevo Vallarta, Nayarit","20.69","-105.30","1698977701"
"2508","de","Neckarwestheim","49.04","9.20","1698977701"
"2509","pt","Matosinhos","41.17","-8.68","1698977701"
"2510","nl","Hellevoetsluis","51.83","4.14","1698977701"
"2511","za","Cape Town","-33.80","18.48","1698977701"
"2512","ca","Quadra Island","50.12","-125.22","1698977701"
"2513","de","Cologne","50.86","7.03","1698977701"
"2514","gb","Lochgelly","56.13","-3.32","1698977701"
"2515","gb","Lyme Regis","50.76","-2.96","1698977701"
"2516","ru","Murmansk","68.98","33.09","1698977701"
"2517","br","Belem","-1.46","-48.50","1698977701"
"2518","nz","Waikato","-37.62","175.02","1698977701"
"2519","th","Bangkok","13.73","100.57","1698977701"
"2520","at","Vienna","48.16","16.33","1698977701"
"2521","it","Gela","37.07","14.24","1698977701"
"2524","cy","Limassol","34.69","32.99","1698977701"
"2525","it","Meta (Naples)","40.64","14.41","1698977701"
"2526","es","Oviedo","43.36","-5.84","1698977701"
"2527","ee","Vaana-Joesuu","59.40","24.44","1698977701"
"2528","ae","Abu Dhabi","24.56","54.89","1698977701"
"2529","us","Arnold, MD","39.07","-76.48","1698977701"
"2530","us","Key Largo, FL","0.00","0.00","1698977701"
"2531","de","Frankfurt","50.10","8.70","1698977701"
"2537","us","Savannah, Georgia","32.08","-81.07","1698977701"
"2538","us","Wilmington","34.22","-77.83","1698977701"
"2539","ca","Noth Vancouver","49.27","-123.16","1698977701"
"2541","vn","Haiphong","20.94","106.75","1698977701"
"2543","de","Hamburg","53.46","9.97","1698977701"
"2544","nz","Tauranga","-37.63","176.18","1698977701"
"2545","dk","Sletten","55.96","12.53","1698977701"
"2546","be","Merchtem","51.15","2.77","1698977701"
"2548","nl","Poortugaal","51.85","4.39","1698977701"
"2549","nl","Zoetermeer","52.05","4.48","1698977701"
"2550","us","St. Augustine","29.80","-81.30","1695318902"
"2551","de","Elbe River, Drochtersen","53.71","9.38","1698962401"
"2553","it","Aprilia","41.45","12.63","1698972901"
"2554","nl","Gorinchem","51.83","4.94","1698977701"
"2555","gb","St. Andrews","56.33","-2.78","1698977701"
"2558","gb","Gelliswick","51.71","-5.07","1698977701"
"2559","nl","Nijmegen","51.83","5.84","1698977701"
"2560","nl","Urk","52.67","5.62","1698977701"
"2561","de","Bremerhaven","53.55","8.57","1698977701"
"2562","no","Brostadbotn","69.05","17.62","1698977701"
"2564","fr","La Rochelle","46.14","-1.17","1698977701"
"2566","ee","Tallinn","59.43","24.64","1698977701"
"2567","gb","Plymouth","50.39","-4.13","1698977701"
"2568","de","Wesel","51.66","6.54","1698229201"
"2569","ie","Galway","53.16","-9.08","1698934201"
"2570","de","Kiel-Suchsdorf","54.36","10.07","1698977701"
"2571","nl","Leens","53.37","6.37","1698977701"
"2572","fr","Mandelieu La Napoule","43.56","6.93","1698977701"
"2573","it","Venice","45.55","12.32","1698977701"
"2574","nl","Zwolle","52.53","6.05","1698977701"
"2577","de","Hamburg","53.55","9.94","1698977701"
"2578","no","Kaldfarnes","69.16","17.02","1698977701"
"2580","dk","Frederikssund","55.82","12.08","1698977701"
"2581","us","Detroit","42.34","-82.99","1698977701"
"2582","de","Siegburg","50.80","7.22","1698977701"
"2583","gb","Broadford","57.24","-5.91","1698977701"
"2584","de","Rendsburg","54.26","9.63","1698977701"
"2586","no","Jeloy, Moss","59.44","10.62","1698977701"
"2587","gb","Felixstowe","51.96","1.34","1698977701"
"2588","nl","The Hague","52.08","4.28","1698977701"
"2589","no","Asker","59.88","10.49","1698977701"
"2590","nl","Breda","51.60","4.74","1698977701"
"2592","tw","Keelung, National Taiwan Ocean University","25.15","121.78","1698977701"
"2593","ca","Prince Rupert","54.32","-130.32","1698977701"
"2595","nl","Utrecht","52.09","5.12","1698977701"
"2596","nl","Utrecht","52.12","5.11","1698977701"
"2597","us","San Pedro","33.74","-118.29","1698977701"
"2598","cn","Beijing","39.92","116.38","1698977701"
"2599","nl","Zwijndrecht","51.90","4.53","1698977701"
"2600","de","Hamm","51.67","7.79","1698977701"
"2602","es","Castelldefels","41.28","1.97","1698977701"
"2603","de","Geesthacht","53.41","10.42","1698977701"
"2604","se","Sundbyberg","59.35","17.96","1698977701"
"2606","no","Ålesund","62.43","6.39","1698977701"
"2607","zz","At Sea","0.00","0.00","1698977701"
"2608","de","Forchheim","49.72","11.05","1698977701"
"2610","de","Kiel","54.37","10.12","1698099001"
"2611","nz","Tauranga","-37.69","176.17","1698977701"
"2613","de","Winsen (Luhe)","53.39","10.17","1698970802"
"2614","us","Kingwood","29.49","-94.92","1698977701"
"2616","nl","Houten","52.02","5.15","1698976201"
"2617","au","Knoxfield","-37.90","145.23","1698974702"
"2618","ve","Puerto Ordaz","8.28","-62.72","1698977701"
"2619","us","Groves","29.90","-93.92","1698977701"
"2620","ca","Rimouski QC","48.44","-68.54","1698777901"
"2621","dk","Aalborg","57.72","10.59","1697277302"
"2624","es","Las Palmas de Gran Canaria","28.08","-15.45","1698977701"
"2625","nl","Sint Anne","53.27","5.63","1698977701"
"2628","se","Nyköping","58.70","16.19","1698977701"
"2631","nl","Roermond","51.12","6.04","1698977701"
"2632","cn","Shenzhen","22.73","114.26","1696158301"
"2633","de","Bremen","53.08","8.80","1698977701"
"2634","fo","IP61","61.90","-6.80","1698977701"
"2635","gr","Adamantas","0.00","0.00","1694613901"
"2636","nl","IJmuiden","52.47","4.63","1698977701"
"2637","au","Devonport","-41.11","146.33","1698977701"
"2638","au","Manly","-27.45","153.18","1698977701"
"2639","us","San Diego","32.72","-117.22","1696959901"
"2640","us","New Jersey, Montclair","40.83","-74.21","1698977701"
"2642","gb","Southampton","50.91","-1.40","1698977701"
"2646","us","Arkwright, NY","42.41","-79.24","1698977701"
"2647","gb","Edinburgh","55.97","-3.19","1698977701"
"2648","gb","London","51.49","-0.04","1698977701"
"2650","us","Sabine Pass, TX","29.71","-93.85","1698977701"
"2651","je","S/Y Aweh","13.13","-61.20","1698977701"
"2652","de","Hamburg","53.62","9.95","1698977701"
"2653","fr","La Rochelle","46.14","-1.15","1698977701"
"2654","gg","St Martin","49.44","-2.55","1698977701"
"2655","nl","Sliedrecht","51.82","4.73","1698977701"
"2656","it","Cagliari","39.22","9.14","1698977701"
"2657","tr","Istanbul","41.02","28.98","1698976802"
"2660","ca","Sorel-Tracy","45.85","-73.25","1698977701"
"2661","nl","Amersfoort","53.33","6.93","1697198401"
"2662","fr","Le Havre","49.51","0.07","1698977701"
"2663","de","Lingen","52.53","7.31","1698768302"
"2665","gb","London","51.52","0.10","1698975601"
"2667","nl","Eelde","53.13","6.56","1698977701"
"2669","cy","Limaasol","34.67","32.90","1698977701"
"2671","nl","Hippolytushoef","52.90","4.95","1698977701"
"2672","us","Highlands","40.39","-73.98","1698268501"
"2673","ie","Dublin","53.34","-6.25","1698977701"
"2674","nl","Maastricht","50.87","5.84","1698977701"
"2676","ca","Toronto","43.65","-79.38","1698977701"
"2677","nl","Rotterdam","51.91","4.47","1698977701"
"2678","nl","Beverwijk","52.49","4.65","1698977701"
"2679","nl","Urk","52.66","5.60","1697639102"
"2681","gb","Sheringham","52.94","1.21","1698977701"
"2682","au","River Heads","-25.40","152.91","1698975601"
"2683","es","La Matanza de Acentejo","28.46","-16.45","1698977701"
"2685","us","Berwick","29.69","-91.22","1695868201"
"2686","gb","Brighton","50.82","-0.16","1698977701"
"2688","de","Lübeck","53.91","10.79","1698977701"
"2689","no","Haugesund","59.43","5.27","1698977701"
"2690","hr","Štinjan, Pula","44.90","13.82","1698977701"
"2691","nl","Utrecht","52.10","5.06","1698977701"
"2692","sg","Pasir Ris","1.38","103.94","1698977701"
"2693","fr","Paris","48.86","2.31","1698977701"
"2695","fi","Turku","60.45","22.30","1698977701"
